Team Number,Team,Unitless_EPA,Normal-EPA,Total-EPA,Auto-EPA,Teleop-EPA,Endgame-EPA,RP1-EPA,RP2-EPA,Rank
604,Quixilver,1911,1886,48.6,18.4,24.9,5.2,0.74,0.45,-1
5712,Hemlock's Gray Matter,1879,1850,45.9,17.1,23.8,5,0.77,0.33,-1
9483,?stanbul Wildcats,1866,1836,44.9,19.9,23.7,1.3,0.67,0.28,-1
1731,Fresta Valley Robotics Club,1860,1830,44.4,17.9,20.8,5.8,0.72,0.29,-1
6329,The Bucks' Wrath,1842,1810,42.9,13.2,27.3,2.5,0.72,0.12,-1
114,Eaglestrike,1828,1794,41.8,11.2,26.4,4.2,0.75,0.24,-1
1727,REX,1798,1762,39.3,11.8,24.8,2.7,0.48,0.29,-1
2522,Royal Robotics,1774,1736,37.4,12.5,22,2.9,0.45,0.25,-1
7457,suPURDUEper Robotics,1774,1735,37.4,14.5,16.9,6,0.38,0.46,-1
1391,The Metal Moose,1770,1732,37.1,10.4,24.3,2.4,0.35,0.08,-1
2338,Gear It Forward,1768,1729,36.9,12.7,17.5,6.7,0.46,0.47,-1
1501,Team THRUST,1765,1726,36.6,13.1,17.4,6.2,0.47,0.47,-1
2713,Red Hawk Robotics,1762,1723,36.4,10.6,24.2,1.6,0.45,0.18,-1
1591,Greece Gladiators,1750,1710,35.5,15.1,16.9,3.5,0.46,0.16,-1
4400,Cerbotics - Peñoles,1751,1710,35.5,11.8,21.7,2,0.62,0.13,-1
2614,Mountaineer Area RoboticS (...,1747,1706,35.2,12.4,17,5.8,0.23,0.25,-1
2611,Jacktown Vectors,1744,1703,34.9,13.5,20.4,1.1,0.73,0.05,-1
6800,Valor,1740,1698,34.6,13.6,17.2,3.8,0.45,0.17,-1
8033,Highlander Robotics,1740,1698,34.6,11.3,22.7,0.6,0.55,-0.05,-1
1730,Team Driven,1739,1697,34.5,11.7,19.4,3.4,0.72,0.29,-1
1318,Issaquah Robotics Society,1738,1696,34.4,11.6,18.3,4.6,0.56,0.44,-1
67,The HOT Team,1736,1694,34.3,11.7,18,4.5,0.58,0.42,-1
179,Children of the Swamp,1735,1693,34.2,15.2,12.9,6.1,0.45,0.32,-1
78,AIR STRIKE,1734,1692,34.1,9.3,21.4,3.4,0.65,0.28,-1
6459,AG Robotik,1725,1681,33.4,12.9,19,1.5,0.64,0.11,-1
1058,PVC Pirates,1721,1675,33,12.3,18.4,2.4,0.37,0.03,-1
2930,Sonic Squirrels,1717,1670,32.7,11.9,17.9,2.9,0.43,0.08,-1
7174,Charger Robotics,1715,1667,32.6,10,19.4,3.2,0.51,0.2,-1
3539,Byting Bulldogs,1714,1665,32.5,13.2,17.1,2.1,0.29,0.21,-1
5885,Villanova WiredCats,1699,1646,31.2,10.6,18.1,2.5,0.55,-0.05,-1
1114,Simbotics,1696,1643,31,11.7,17.7,1.6,0.6,-0.05,-1
4063,TriKzR4Kidz,1693,1640,30.8,11.5,17.2,2.1,0.4,-0.06,-1
9535,The Knack,1687,1635,30.3,8.5,17.7,4.1,0.45,0.22,-1
70,More Martians,1685,1632,30.1,9,15.6,5.6,0.41,0.32,-1
7763,Carrborobotics,1683,1631,29.9,7.5,22.1,0.3,0.63,0.05,-1
226,Hammerheads,1674,1623,29.2,14.7,12.9,1.7,0.4,-0.02,-1
2073,EagleForce,1668,1619,28.7,11.7,14.2,2.8,0.39,0.01,-1
1410,The Kraken,1666,1618,28.6,12.4,13.6,2.7,0.33,0.14,-1
3534,House of Cards,1659,1613,28,7.7,17.9,2.4,0.31,0,-1
3075,Ha-Dream Team,1653,1609,27.5,8.2,15.3,4,0.46,0.24,-1
6413,Degrees of Freedom,1649,1606,27.2,8.6,17.6,1,0.24,-0.04,-1
6740,G3 - Glue Gun & Glitter,1650,1607,27.2,9.6,15.6,2,0.31,0.06,-1
4285,Camo-Bots,1646,1605,27,12.5,13.7,0.7,0.52,0.03,-1
5427,Steel Talons,1640,1601,26.5,11.7,12.8,2,0.32,0,-1
219,Team Impact 219,1638,1599,26.2,10.7,14.4,1.2,0.42,-0.03,-1
175,Buzz Robotics,1623,1589,25,8.2,13.8,3,0.26,0.2,-1
4125,Confidential,1620,1587,24.8,7.7,15.6,1.5,0.3,0.08,-1
2987,Rogue Robotics,1590,1568,22.4,9,12.2,1.1,0.32,-0.09,-1
5892,Energy HEROs,1584,1564,21.9,7,13.3,1.5,0.47,0.01,-1
6217,Bomb-Botz,1575,1558,21.2,6.9,12.2,2.1,0.22,-0.09,-1
9452,LHS Steel Stingers,1564,1551,20.3,4.5,14.7,1,0.26,-0.03,-1
2609,BeaverworX,1562,1549,20.1,7.5,11,1.6,0.35,0.1,-1
5461,Victorian Engineered Roboti...,1562,1549,20,8.7,10.1,1.3,0.14,0.07,-1
2689,Team Alpha,1548,1540,18.9,7.9,10.3,0.7,0.1,0.08,-1
1458,Red Tie Robotics,1547,1539,18.8,8.9,9.2,0.7,0.23,-0.18,-1
1160,Titanium Robotics,1542,1535,18.4,5,12.1,1.4,0.19,-0.03,-1
1533,Triple Strange,1536,1532,18,8.6,8.1,1.3,-0.01,0.06,-1
4322,Clockwork,1533,1529,17.7,8.1,9.2,0.5,0.18,-0.03,-1
3341,Option 16,1531,1528,17.6,7.1,9.1,1.4,0.18,0,-1
7428,Gigawatts,1532,1529,17.6,3.8,11.9,1.9,0.34,0.11,-1
3544,Spartiates,1524,1523,16.9,7.5,8.1,1.3,0.19,-0.11,-1
9458,SESI SENAI JACTECH,1519,1520,16.6,5.8,9.9,0.9,0.11,-0.09,-1
578,R-cubed  - Red Raider Robotics,1513,1515,16.1,5.6,8.4,2,-0.02,-0.04,-1
1288,RAVEN Robotics,1493,1501,14.5,5.5,7.3,1.7,-0.02,0.18,-1
8840,Bay Robotics,1491,1499,14.2,5,9.1,0.1,0.19,-0.04,-1
8019,Patriot Engineering,1478,1489,13.2,3.1,8.5,1.6,0.15,0.11,-1
9498,ZENSHIN Robotics,1478,1489,13.2,6.4,6.8,0,-0.13,-0.17,-1
5417,Eagle Robotics,1474,1485,12.8,5,7.4,0.5,0.01,-0.01,-1
4501,Humans,1432,1447,9.4,4.4,3.8,1.2,-0.08,0.13,-1
4630,Robodragons,1427,1443,9.1,6.6,2.2,0.3,-0.06,-0.12,-1
9431,Snider Panthers,1420,1436,8.5,5,2,1.5,-0.17,-0.09,-1
6902,STRIKE,1408,1422,7.5,2.8,2.5,2.2,0.06,-0.03,-1
9764,Maritime Marauders,1406,1420,7.3,2.8,3.6,0.9,-0.01,0.07,-1
9636,West End Secondary School,1392,1404,6.2,1.1,3.8,1.3,-0.01,0.09,-1
6586,Tuskin' Raiders,1363,1368,3.8,1.3,1.9,0.5,-0.07,-0.14,-1
